TITLE,TYPE,YEAR,DATE,PARTICIPANTS,MODERATORS,LINK
Presidential Debate at the University of Nevada in Las Vegas,General,2016,"October 19, 2016","['Former Secretary of State Hillary Clinton (D) ', ' Businessman Donald Trump (R)']",Chris Wallace (Fox News),https://www.presidency.ucsb.edu/ws/index.php?pid=119039
"Presidential Debate at Washington University in St. Louis, Missouri",General,2016,"October 09, 2016","['Former Secretary of State Hillary Clinton (D) ', ' Businessman Donald Trump (R)']","['Anderson Cooper (CNN) ', ' Martha Raddatz (ABC News)']",https://www.presidency.ucsb.edu/ws/index.php?pid=119038
"Presidential Debate at Hofstra University in Hempstead, New York",General,2016,"September 26, 2016","['Former Secretary of State Hillary Clinton (D) ', ' Businessman Donald Trump (R)']",Lester Holt (NBC News),https://www.presidency.ucsb.edu/ws/index.php?pid=118971
"Vice Presidential Debate at Longwood University in Farmville, Virginia",General,2016,"October 04, 2016","['Senator Tim Kaine (D-VA) ', ' Governor Mike Pence (R-IN)']",Elaine Quijano (CBS News),https://www.presidency.ucsb.edu/ws/index.php?pid=119012
"Democratic Candidates Debate in Brooklyn, New York",Primary-D (Democratic),2016,"April 14, 2016","['Former Secretary of State Hillary Clinton', ' Senator Bernie Sanders (VT)', '']",Wolf Blitzer,https://www.presidency.ucsb.edu/ws/index.php?pid=116995
"Democratic Candidates Debate in Miami, Florida",Primary-D (Democratic),2016,"March 09, 2016","['Former Secretary of State Hillary Clinton', ' Senator Bernie Sanders (VT)', '']","['Jorge Ramos (Univision)', ' María Elena Salinas (Univision)', ' Karen Tumulty (The Washington Post)']",https://www.presidency.ucsb.edu/ws/index.php?pid=112719
"Democratic Candidates Debate in Flint, Michigan",Primary-D (Democratic),2016,"March 06, 2016","['Former Secretary of State Hillary Clinton', ' Senator Bernie Sanders (VT)', '']","['Anderson Cooper (CNN)', ' Don Lemon (CNN)']",https://www.presidency.ucsb.edu/ws/index.php?pid=112718
"Democratic Candidates Debate in Milwaukee, Wisconsin",Primary-D (Democratic),2016,"February 11, 2016","['Former Secretary of State Hillary Clinton', ' Senator Bernie Sanders (VT)', '']","['Gwen Ifill (PBS)', ' Judy Woodruff (PBS)']",https://www.presidency.ucsb.edu/ws/index.php?pid=111520
"Democratic Candidates Debate in Durham, New Hampshire",Primary-D (Democratic),2016,"February 04, 2016","['Former Secretary of State Hillary Clinton', ' Senator Bernie Sanders (VT)', '']","['Chuck Todd (MSNBC)', ' Rachel Maddow (MSNBC)']",https://www.presidency.ucsb.edu/ws/index.php?pid=111471
"Democratic Candidates Forum at Drake University in Des Moines, Iowa",Primary-D (Democratic),2016,"January 25, 2016","['Secretary of State Hillary Clinton', ""Former Governor Martin O'Malley (MD)"", 'Senator Bernie Sanders (VT)', '']","Cuomo, CNN",https://www.presidency.ucsb.edu/ws/index.php?pid=123351
"Democratic Candidates Debate in Charleston, South Carolina",Primary-D (Democratic),2016,"January 17, 2016","['Former Secretary of State Hillary Clinton', "" Former Governor Martin O'Malley (MD)"", ' Senator Bernie Sanders (VT)', '']",Lester Holt (NBC News) Andrea Mitchell (NBC News),https://www.presidency.ucsb.edu/ws/index.php?pid=111409
"Democratic Candidates Debate in Manchester, New Hampshire",Primary-D (Democratic),2015,"December 19, 2015","['Secretary of State Hillary Clinton', ""Former Governor Martin O'Malley (MD)"", 'Senator Bernie Sanders (VT)', '']",Raddatz (ABC News)David Muir (ABC News),https://www.presidency.ucsb.edu/ws/index.php?pid=111178
"Democratic Candidates Debate in Des Moines, Iowa",Primary-D (Democratic),2015,"November 14, 2015","['Former Secretary of State Hillary Clinton', "" Former Governor Martin O'Malley (MD)"", ' Senator Bernie Sanders (VT)', '']","['Nancy Cordes (CBS News)', ' Kevin Cooney (CBS News)', ' John Dickerson (CBS News)', ' ', ' Kathie Obradovich (The Des Moines Register)']",https://www.presidency.ucsb.edu/ws/index.php?pid=110910
"Democratic Candidates Debate in Las Vegas, Nevada",Primary-D (Democratic),2015,"October 13, 2015","['Governor Lincoln Chafee (RI)', 'Former Secretary of State Hillary Clinton', ""Former Governor Martin O'Malley (MD)"", 'Senator Bernie Sanders (VT)', 'Former Senator Jim Webb (VA)', '']","['Cooper (CNN)', 'Dana Bash (CNN)', 'Don Lemon (CNN)', ' andJuan Carlos Lopez (CNN en Espanol)']",https://www.presidency.ucsb.edu/ws/index.php?pid=110903
"Republican Candidates Debate in Miami, Florida",Primary-R (Republican),2016,"March 10, 2016","['Senator Ted Cruz (TX)', ' Governor John Kasich (OH)', ' Senator Marco Rubio (FL)', ' Donald Trump', '']","['Jake Tapper (CNN)', ' Dana Bash (CNN)', ' Hugh Hewitt (Salem Radio Network)', ' ', ' Stephen Dinan (Washington Times)']",https://www.presidency.ucsb.edu/ws/index.php?pid=115148
"Republican Candidates Debate in Detroit, Michigan",Primary-R (Republican),2016,"March 03, 2016","['Senator Ted Cruz (TX)', ' Governor John Kasich (OH)', ' Senator Marco Rubio (FL)', ' Donald Trump', '']","['Bret Baier (Fox News)', ' Megyn Kelly (Fox News)', ' ', ' Chris Wallace (Fox News)']",https://www.presidency.ucsb.edu/ws/index.php?pid=111711
